ключ_клиента,оборот_mean,оборот_std,cv,ci_lower,ci_upper,транзакции_кол,концентрация,возраст,регион,когорта
861276,40941.11538461538,112442.85604674146,1.2404146772189149,1618.8,67480.35,52,0.584525242162994,38,неизвестен,1
935564,54971.15094339623,88213.31721166964,1.2012330161010365,5278.0,147281.39999999997,53,0.30920609815577366,49,неизвестен,6
941567,64868.41509433962,278797.0057317645,0.9421714285714289,3330.6,57722.39999999996,53,0.7073585249209866,44,неизвестен,0
969180,39251.434782608696,38218.48822042078,1.348108811097865,2947.25,87327.0,46,0.20060413188994475,50,неизвестен,3
983133,46230.21875,91829.81248066119,0.972480476013388,3000.0,60503.549999999974,64,0.40021644392500305,47,неизвестен,3
1015614,68702.83333333333,105857.06736772206,2.1255811903012494,3933.45,128652.49999999977,54,0.32672785881654026,40,неизвестен,0
1041833,48234.931818181816,69315.56436800066,1.372045774939879,1503.6000000000001,99530.44999999992,44,0.35134429640533055,53,неизвестен,3
1068166,111841.19607843137,299696.8975819992,1.1420432025366627,2893.5,100864.0,51,0.643092157455047,41,неизвестен,0
1104727,27022.23076923077,55068.42914628175,1.3229363449691984,2495.9999999999995,36585.85000000001,52,0.47238029087161854,43,неизвестен,1
1105789,27162.071428571428,57043.51565060319,1.0632852729145221,413.65,46905.749999999956,14,0.9068107050535279,38,неизвестен,4
1107113,56368.65217391304,140385.85291604698,0.7478723169087251,6422.25,55870.5,46,0.5719726274008294,36,неизвестен,0
1116891,35355.46296296296,47108.051167546546,2.309930748911259,2956.2,65325.799999999996,54,0.28464981314114063,40,неизвестен,2
1117198,46146.0,60652.16886052563,1.4705753968253976,3640.2999999999997,114454.19999999997,35,0.3716415600175839,37,неизвестен,1
1127862,18802.212765957447,23842.751037129932,1.4154918667699465,2902.5,32393.100000000028,47,0.29398531635027114,41,неизвестен,3
1132019,24477.677419354837,34001.726889149744,0.6009562841530055,5483.0,35783.5,31,0.39466900717968184,42,неизвестен,1
1143225,83803.6875,82018.74657945489,1.0821816795454757,9650.55,183326.65,48,0.20670729236506846,43,неизвестен,0
1147740,42386.60317460317,60329.645257321674,1.2212654114498727,5266.2,81760.19999999997,63,0.2670396756087952,39,неизвестен,6
1151465,29891.62962962963,47335.273877395186,1.2019460374165654,870.0,58935.499999999935,27,0.5600973392774392,52,неизвестен,1
1157449,65406.239130434784,113761.29897407509,1.151244687310261,2251.5,189606.25,46,0.40982096176837274,55,неизвестен,0
1165152,63842.36666666667,192573.43312945723,1.7358508423244376,2389.2,75286.5,60,0.5776260905114733,37,неизвестен,0
1174789,78889.51785714286,105011.91739716142,2.3827949355105904,4620.0,195305.25,56,0.2563786651902197,45,неизвестен,2
1189277,52781.49056603773,67467.54150284854,3.649954797881958,2331.0,109474.19999999998,53,0.2774643340879575,50,неизвестен,2
1213620,47925.92857142857,60255.81732670451,1.9257499083241658,2763.75,113509.59999999998,28,0.4110547079347147,55,неизвестен,1
1240812,92848.84615384616,279285.45692812797,1.2786124653116329,3986.0999999999995,122781.3,52,0.5305811347641121,39,неизвестен,0
1241192,37632.12857142857,41615.72353258576,1.386520808695163,4086.75,77084.0,70,0.1832636170688496,38,неизвестен,6
1249615,42929.36170212766,47239.62237784175,1.0749495402556635,6169.5,92574.90000000002,47,0.24839816026327266,40,неизвестен,3
1267098,53360.67272727273,105437.10880745313,1.0685827990271946,3486.6,77997.29999999996,55,0.40061577525429864,43,неизвестен,3
1282702,86434.10256410256,77174.75079916071,1.2700327777390334,6492.3,174620.19999999998,39,0.2145493973473196,37,неизвестен,0
1311845,24302.314814814814,25485.83051337443,0.9119380987472373,3597.4499999999994,49949.05,54,0.21140190120587507,39,неизвестен,3
1312745,99548.2972972973,167548.72579396685,1.4313086183963715,2583.0,237072.59999999963,37,0.44804083960875163,39,неизвестен,0
1399156,87160.46666666666,138805.31533764195,2.7964949176305653,6000.0,172135.34999999998,30,0.48238842227401263,42,неизвестен,2
1404406,5007.666666666667,2517.326138760905,0.2988428643300352,2880.8999999999996,7038.9,3,1.0,35,неизвестен,4
1408326,117688.77142857143,208676.06831848744,3.1075641025641025,2789.9999999999995,253770.49999999988,35,0.5122666150697226,42,неизвестен,0
1441217,50110.71428571428,68588.75845722885,1.1835323238206175,5389.5,99276.0,56,0.27445513505808566,38,неизвестен,6
1447265,45759.64705882353,54409.13037739578,1.0793918918918919,6958.5,72910.5,51,0.2684795491532483,40,неизвестен,3
