ключ_клиента,тип,текущий_оборот,ожидаемый_диапазон,отклонение_%,приоритет
17524655,высокие расходы,30556.0,"[493, 12148]",177.99697677999075,высокий
18879100,высокие расходы,161583.41666666666,"[2709, 121086]",104.7441401754093,высокий
19355429,высокие расходы,172084.44444444444,"[4047, 131894]",148.27964344543182,высокий
19396143,высокие расходы,113686.66666666667,"[4705, 97704]",136.03679428292781,высокий
19428834,высокие расходы,147137.44444444444,"[2438, 126991]",27.558506082376145,средний
19503044,высокие расходы,4622.333333333333,"[1085, 3234]",66.69440130167887,высокий
19503044,низкие расходы,685.0,"[1085, 3234]",75.26625249611715,высокий
19919856,высокие расходы,57458.0,"[1886, 36805]",115.27357090364137,высокий
19919856,высокие расходы,38913.22222222222,"[1886, 36805]",45.79445477149987,высокий
20097413,высокие расходы,141684.45454545456,"[4545, 100686]",62.619635039996155,высокий
20097413,высокие расходы,198621.81818181818,"[4545, 100686]",127.96955627495643,высокий
20099303,высокие расходы,37751.0,"[2004, 36418]",108.88933601609658,высокий
20309291,высокие расходы,61856.1,"[3594, 57117]",81.33957745713992,высокий
21344230,высокие расходы,25260.14285714286,"[901, 23481]",35.50038314176247,высокий
21865958,высокие расходы,89073.25,"[7500, 87474]",72.54645877252649,высокий
22485226,высокие расходы,439654.875,"[5227, 90897]",305.6166945926349,высокий
22728905,высокие расходы,33037.28571428572,"[2180, 26906]",67.99887646253585,высокий
23633045,высокие расходы,87033.2,"[3383, 84974]",94.06449227697378,высокий
23947066,высокие расходы,54927.125,"[1872, 47604]",97.29447456347363,высокий
24046831,высокие расходы,107698.88888888889,"[5266, 101895]",65.22247824050092,высокий
24515433,высокие расходы,1130.0,"[330, 911]",85.00545256270446,высокий
24515433,низкие расходы,300.0,"[330, 911]",50.76335877862596,высокий
25426757,высокие расходы,86027.14285714286,"[3958, 84577]",25.64866098209327,средний
25693002,высокие расходы,21572.0,"[542, 15978]",145.91539095974733,высокий
27575990,высокие расходы,84108.6,"[6264, 50536]",129.7379756412673,высокий
27767339,высокие расходы,148378.7,"[3695, 111467]",99.76872897815544,высокий
27958294,высокие расходы,1416424.5714285714,"[1389, 81392]",502.5591643998698,высокий
29278392,высокие расходы,62228.666666666664,"[2284, 41173]",162.49933211285747,высокий
29482167,высокие расходы,221293.625,"[15280, 187951]",76.38103120596953,высокий
29992252,высокие расходы,116576.9,"[4770, 91407]",85.44255033990864,высокий
30132086,высокие расходы,122572.0,"[6570, 56862]",182.49718991471076,высокий
31246527,высокие расходы,602622.375,"[8495, 493988]",149.34692517049672,высокий
32231725,высокие расходы,97793.85714285714,"[2700, 80047]",124.51020410766131,высокий
32684652,высокие расходы,63223.916666666664,"[2435, 58410]",116.93404391734833,высокий
32751754,высокие расходы,262543.875,"[5583, 89797]",227.2233594544117,высокий
32759948,высокие расходы,75844.44444444444,"[4568, 70505]",30.350964324527762,высокий
32759948,высокие расходы,72176.77777777778,"[4568, 70505]",24.047568117638715,средний
32831520,высокие расходы,136042.45454545456,"[5706, 111354]",100.06799520737192,высокий
34231751,высокие расходы,98294.8,"[5798, 83559]",86.61677129863467,высокий
34668307,высокие расходы,77798.42857142857,"[1779, 68537]",137.41019425603875,высокий
36061667,высокие расходы,75217.16666666667,"[3625, 74186]",89.06412401911176,высокий
36755305,высокие расходы,211291.0,"[10959, 195984]",103.37977736652554,высокий
37580090,высокие расходы,38822.25,"[1220, 35022]",43.31481446506326,высокий
52234444,высокие расходы,60621.3,"[1367, 40211]",133.36377566904818,высокий
52733167,высокие расходы,171890.6,"[5769, 95734]",201.29727171541006,высокий
56272100,высокие расходы,122219.0,"[623, 91648]",286.83676071073756,высокий
56272100,высокие расходы,94502.0,"[623, 91648]",199.1100834351729,высокий
58713272,высокие расходы,261395.25,"[3338, 87996]",148.76322426126544,высокий
58713272,высокие расходы,217221.25,"[3338, 87996]",106.72411058416738,высокий
58713272,высокие расходы,114150.0,"[3338, 87996]",8.634193538154081,средний
59038780,низкие расходы,975.0,"[2066, 8553]",81.33940521092242,высокий
59192627,высокие расходы,51451.5,"[4299, 37524]",55.102262287941116,высокий
59192627,высокие расходы,39613.833333333336,"[4299, 37524]",19.417914973222675,средний
59192627,высокие расходы,58910.25,"[4299, 37524]",77.58647586046297,высокий
59493011,низкие расходы,240.0,"[707, 2219]",83.71621621621622,высокий
60834470,высокие расходы,88344.0,"[1205, 20914]",429.3765167630404,высокий
62052245,высокие расходы,104557.125,"[2580, 72455]",147.0639764452763,высокий
62377379,высокие расходы,44100.71428571428,"[1426, 32188]",88.50253301245533,высокий
63952796,высокие расходы,301933.54545454547,"[2092, 81983]",263.0678469212391,высокий
64022575,высокие расходы,57437.166666666664,"[2052, 44000]",115.44467783362447,высокий
64582797,высокие расходы,79802.85714285714,"[4601, 67515]",88.13276200975082,высокий
65985954,высокие расходы,47019.9,"[1500, 36961]",84.36901766057626,высокий
69204533,высокие расходы,20943.0,"[3121, 19622]",121.00338839971394,высокий
69423583,высокие расходы,75923.16666666667,"[9840, 74289]",38.140729794416195,высокий
69624807,высокие расходы,123293.42857142857,"[2261, 31455]",332.1898488333802,высокий
69667966,высокие расходы,7718.0,"[1284, 5539]",119.95212856898615,высокий
69866175,высокие расходы,395685.375,"[9326, 370817]",117.0423313333955,высокий
70200536,высокие расходы,132545.57142857142,"[1905, 94675]",132.61370212429588,высокий
70344723,высокие расходы,54546.0,"[1593, 52280]",22.34241659988089,средний
70344723,высокие расходы,53423.7,"[1593, 52280]",19.825231527373756,средний
70432542,высокие расходы,69875.5,"[1289, 59129]",80.37051632398797,высокий
71024749,высокие расходы,145285.5,"[2940, 87013]",67.33570625079184,высокий
71024749,высокие расходы,170061.0,"[2940, 87013]",95.87122600119187,высокий
71024749,высокие расходы,105955.0,"[2940, 87013]",22.036266903730912,средний
73195753,высокие расходы,189619.0,"[4190, 158821]",79.2988308923366,высокий
73195753,высокие расходы,314341.0,"[4190, 158821]",197.23211212086738,высокий
74024479,высокие расходы,172431.16666666666,"[3080, 86755]",11.345913955314293,средний
74024479,высокие расходы,290437.875,"[3080, 86755]",87.54726922584022,высокий
74024479,высокие расходы,283843.8333333333,"[3080, 86755]",83.28924933182725,высокий
74024479,высокие расходы,108342.8,"[3080, 86755]",30.038346872295975,высокий
74642651,высокие расходы,289053.0,"[1260, 160383]",211.00507633685095,высокий
74720505,высокие расходы,265327.3076923077,"[10428, 232342]",105.98060625979669,высокий
75773407,высокие расходы,45764.28571428572,"[1197, 34019]",102.97068595788818,высокий
75773407,высокие расходы,38824.5,"[1197, 34019]",72.19248704915425,высокий
75964864,высокие расходы,142754.0,"[4845, 89180]",153.85178166336001,высокий
79236977,высокие расходы,58651.2,"[977, 51357]",102.27231629438481,высокий
79879666,высокие расходы,72438.6,"[6729, 62575]",71.18924086148361,высокий
83721371,высокие расходы,329344.8,"[5610, 127537]",97.88449945309152,высокий
83721371,высокие расходы,314918.2,"[5610, 127537]",89.21640494631485,высокий
85504262,высокие расходы,145730.81818181818,"[2713, 105143]",134.86323142208823,высокий
85702808,высокие расходы,19926.5,"[1917, 16701]",95.25112890857969,высокий
86254144,высокие расходы,207737.0909090909,"[4993, 161054]",141.59248874101672,высокий
87682913,высокие расходы,239107.55555555556,"[1800, 49635]",10.178152189676375,средний
87682913,высокие расходы,153943.3,"[1800, 49635]",29.064443241169048,средний
87682913,высокие расходы,768822.2,"[1800, 49635]",254.2638586885389,высокий
87682913,высокие расходы,312423.28571428574,"[1800, 49635]",43.96109925552902,высокий
87806824,высокие расходы,227399.88888888888,"[4669, 168454]",123.50233412705458,высокий
87806824,высокие расходы,183191.44444444444,"[4669, 168454]",80.05179807269734,высокий
88197287,высокие расходы,139414.4,"[3531, 69486]",77.0444950186364,высокий
88197287,высокие расходы,73856.91666666667,"[3531, 69486]",6.207366192124185,средний
88197287,высокие расходы,79032.66666666667,"[3531, 69486]",0.3653513490707419,средний
88442848,высокие расходы,218305.57142857142,"[5070, 148141]",111.24470882278675,высокий
89444479,высокие расходы,66718.16666666667,"[2316, 64332]",82.16079422016574,высокий
89444479,высокие расходы,69819.0,"[2316, 64332]",90.6268811178992,высокий
94033161,высокие расходы,62731.666666666664,"[2217, 22469]",288.9500634065609,высокий
95857103,высокие расходы,178755.6,"[5951, 153600]",70.3093057432741,высокий
97114346,высокие расходы,148804.66666666666,"[9900, 125208]",115.85299187112112,высокий
